doy,LAI
[-],[m2 m-2]
1,0.8064486935110858
2,0.8062089044459327
3,0.8059646727993637
4,0.8057104843708929
5,0.8054411019625046
6,0.8051517355765722
7,0.8048382010135915
8,0.8044970668697322
9,0.8041257899342047
10,0.8037228389864445
11,0.8032878069931103
12,0.8028215115684352
13,0.8023260801498072
14,0.8018050108818212
15,0.8012632056606802
16,0.8007069752024816
17,0.7999699125871887
18,0.799211655832518
19,0.7984467479017341
20,0.7976911475666997
21,0.7969620579010009
22,0.7962777516819834
23,0.7956573939235733
24,0.7951208615398838
25,0.7946885601396074
26,0.794381237951191
27,0.7942197968787981
28,0.794225100689054
29,0.7944177803285783
30,0.7948180363722993
31,0.795445438602557
32,0.7963187227189874
33,0.7974555841791952
34,0.7988724694159908
35,0.8005843707974369
36,0.802604640924244
37,0.8049448310629104
38,0.8076145533332585
39,0.8106213666262407
40,0.8139706862520207
41,0.8176657173183229
42,0.8217074118390593
43,0.8260944495732241
44,0.830823242594064
45,0.8358879635885192
46,0.8412805978869371
47,0.8469910192230593
48,0.8530070892242786
49,0.8593147806321726
50,0.8658983240314313
51,0.8727403723184934
52,0.8798221682662721
53,0.887123709416277
54,0.89462391007626
55,0.9023007604233849
56,0.9101314827129194
57,0.918092684592451
58,0.9261605095216253
59,0.9343107842974094
60,0.9425191636848778
61,0.950761272153519
62,0.9590128427190708
63,0.9672498528908744
64,0.9754486577247538
65,0.9835861199814179
66,0.9916397374145062
67,0.9995877678154166
68,1.0074093534068749
69,1.0150846452123825
70,1.0225949274256676
71,1.0299227417801309
72,1.0370520119182975
73,1.0439681677612649
74,1.0506582698781506
75,1.0571111337037369
76,1.0633174496573319
77,1.069269889143621
78,1.0749631924885268
79,1.080394238658279
80,1.0855620967616904
81,1.0904680593356362
82,1.0951156574137448
83,1.099510657378292
84,1.103661039595302
85,1.1075769588328566
86,1.1112706864626087
87,1.1147565344445052
88,1.1180507610947132
89,1.1211714586367556
90,1.124138422535852
91,1.1269730026164657
92,1.1296979359630586
93,1.1323371616040514
94,1.1349156169789925
95,1.1374590161889298
96,1.139993610029992
97,1.142545927810177
98,1.1451425009493443
99,1.1478095683624145
100,1.1505727636257788
101,1.1534567839269092
102,1.1564850407971823
103,1.159679292627901
104,1.1630592589695332
105,1.166642216614147
106,1.1704425776128666
107,1.174471454084457
108,1.1787362434721158
109,1.1832402981991927
110,1.1879827035134751
111,1.192958164429187
112,1.1981570017667116
113,1.2035652572900242
114,1.2091649079418434
115,1.2149341891765
116,1.2208480273905193
117,1.2268785814509238
118,1.2329958933212484
119,1.2391686477852752
120,1.245365041268482
121,1.2515537597572088
122,1.2577050658155415
123,1.2637919910631448
124,1.269791539558183
125,1.275685662058891
126,1.2814619066079278
127,1.2871137418027532
128,1.29264055275202
129,1.2980473097179897
130,1.303343909444965
131,1.3085441891737446
132,1.3136646133420948
133,1.3187226329712447
134,1.3237347177383967
135,1.3287140607352608
136,1.3336679559126048
137,1.3385948482108283
138,1.3434810554674068
139,1.3482971653102835
140,1.3529947450533366
141,1.3575051128526376
142,1.3617408672342208
143,1.3656002018402804
144,1.368974005393798
145,1.3717557468815946
146,1.3738541459558102
147,1.3752085509181275
148,1.375805005758895
149,1.3756878822958647
150,1.3749650588847075
151,1.3738065680656149
152,1.3724367131459922
153,1.3711196537192376
154,1.3701384637563778
155,1.3697678751949038
156,1.3702440246318093
157,1.371739109996576
158,1.3743440384214385
159,1.3780591836774114
160,1.3827932531760694
161,1.3883702645370968
162,1.3945446317215866
163,1.401024254203434
164,1.4074988394591752
165,1.4136664279495545
166,1.4192553508731796
167,1.4240415141645977
168,1.4278610087367827
169,1.4306180469680463
170,1.4322881985864404
171,1.4329162781055504
172,1.432608416432573
173,1.431520930096231
174,1.429847265765074
175,1.4278030702299125
176,1.4256093858503895
177,1.4234739714656837
178,1.4215708264050333
179,1.4200199361259234
180,1.4188723634352176
181,1.418102703821076
182,1.4176089825313514
183,1.4172199933984513
184,1.4167100794106793
185,1.4158213550300451
186,1.4142932518880698
187,1.4118962902789356
188,1.4084617441280742
189,1.4039028018504742
190,1.3982265847281856
191,1.3915370028069642
192,1.3840284483120273
193,1.3759703265829464
194,1.3676825310553387
195,1.3595046511198974
196,1.3517664405690397
197,1.3447635776705862
198,1.3387393202796896
199,1.3338720750999253
200,1.3302688810935392
201,1.3279648070408607
202,1.3269282130751145
203,1.32707057167519
204,1.328257536648935
205,1.330319955589514
206,1.3330647756310896
207,1.336285842503815
208,1.339774592888145
209,1.3433306400684657
210,1.3467722528860384
211,1.3499466925781645
212,1.352739486763043
